MITA Inventory Number,Software Support,Hardware Support,Make,Model,Asset Type,Serial Number,Organisation,Department,Domain,Notes,Written Off,Site,Section,Order Number,Date Commissioned,Date Warranty Expires,User Assigned,Asset SLA,Warranty Expired?
184443,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 455R G7,Laptop,5CD030NTM3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7634,05/09/2020,05/09/2023,store,Gov Workstation,Yes
184450,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 455R G7,Laptop,5CD030NTMZ,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7634,05/09/2020,05/09/2023,store,Gov Workstation,Yes
309892,DSK-4sight-GOV1/GOZ,IMU MEEP,HP,ProBook 450 G8,Laptop,5CD1377JXV,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,15/10/2021,15/10/2024,camiv041 - Vanessa Camilleri,Gov Workstation,Yes
219755,IMU MEEP,IMU MEEP,HP,15-DB101NA,Laptop,CND04023YP,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,25/11/2020,25/11/2022,store,No Desktop SLA,Yes
219760,DSK-4sight-GOV1/GOZ,IMU MEEP,HP,15-DB101NA,Laptop,CND04023YV,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,25/11/2020,25/11/2022,store,Gov Workstation,Yes
219761,DSK-4sight-GOV1/GOZ,IMU MEEP,HP,15-DB101NA,Laptop,CND04023Z9,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,25/11/2020,25/11/2022,store,Gov Workstation,Yes
219840,IMU MEEC,IMU MEEC,DELL,Latitude 7310,Laptop,JF8X373,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,15/12/2020,01/01/2007,store,No Desktop SLA,Yes
219841,IMU MEEC,IMU MEEC,DELL,Latitude 7310,Laptop,2YHT373,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,15/12/2020,01/01/2007,store,No Desktop SLA,Yes
219846,IMU MEEC,IMU MEEC,DELL,Latitude 7310,Laptop,G4GX373,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,15/12/2020,01/01/2007,store,No Desktop SLA,Yes
219843,IMU MEEP,IMU MEEP,DELL,Latitude 7310,Laptop,3VN3573,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,15/12/2020,01/01/2007,store,No Desktop SLA,Yes
219845,IMU MEEC,IMU MEEC,DELL,Latitude 7310,Laptop,GT2X373,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,15/12/2020,01/01/2007,store,No Desktop SLA,Yes
219849,IMU MEEP,IMU MEEP,DELL,XPS 15 9500,Laptop,GKSXP73,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,17/12/2020,01/01/2007,geraj021-Jonathan Gerada,No Desktop SLA,Yes
220105,IMU MEEP,IMU MEEP,DELL,Latitude 7310,Laptop,7XGMFB3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,26/04/2021,26/04/2024,store,No Desktop SLA,Yes
220101,IMU MEEP,IMU MEEP,HP,EliteBook 850 G7,Laptop,5CG0477GX1,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,25/03/2021,25/03/2024,store,No Desktop SLA,Yes
220110,IMU MEEP,IMU MEEP,HP,EliteBook 850 G8,Laptop,5CG12014Y0,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,22/06/2021,14/06/2024,stock-reserved for marc pabx,No Desktop SLA,Yes
220112,IMU MEEP,IMU MEEP,HP,250 G7,Laptop,CND0502NZY,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,01/04/2021,30/03/2024,store,No Desktop SLA,Yes
220113,DSK-4sight-GOV1/GOZ,IMU MEEP,HP,250 G7,Laptop,CND0502PB7,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,01/04/2021,30/03/2024,store,Gov Workstation,Yes
220114,IMU MEEP,IMU MEEP,HP,250 G7,Laptop,CND0502PDN,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,01/04/2021,30/03/2024,stock-for conference,No Desktop SLA,Yes
220115,DSK-4sight-GOV1/GOZ,IMU MEEP,HP,250 G7,Laptop,CND0502NZB,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,01/04/2021,30/03/2024,store,Gov Workstation,Yes
220116,DSK-4sight-GOV1/GOZ,IMU MEEP,HP,250 G7,Laptop,CND05455C8B,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,01/04/2021,30/03/2024,store,Gov Workstation,Yes
220107,IMU MEEP,IMU MEEP,DELL,Latitude 7310,Laptop,JYDDGB3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,26/04/2021,26/04/2024,store,No Desktop SLA,Yes
220108,DSK-4sight-GOV1/GOZ,IMU MEEC,DELL,Latitude 7310,Laptop,1YDDGB3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,26/04/2021,26/04/2024,store,Gov Workstation,Yes
220188,DSK-4sight-GOV1/GOZ,IMU MEEC,RAZER,Blade 15,Laptop,622051M10800456,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,17/05/2021,26/04/2023,store,Gov Workstation,Yes
217988,IMU MEEP,IMU MEEP,HP,ProBook 445 G7,Laptop,5CD11634Q9,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,7821,20/05/2021,20/05/2024,store,No Desktop SLA,Yes
218006,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 455 G7,Laptop,5CD114HJ0N,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7839,20/05/2021,20/05/2024,store,Gov Workstation,Yes
218001,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 455R G7,Laptop,5CD114HJ0L,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,20/05/2021,20/05/2024,store - pending works,Gov Workstation,Yes
220118,DSK-4sight-GOV1/GOZ,IMU MEEC,Lenovo,ThinkPad E15/i7,Laptop,PF-2FD4HW,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,27/05/2021,12/05/2023,store,Gov Workstation,Yes
220119,DSK-4sight-GOV1/GOZ,IMU MEEC,Lenovo,ThinkPad E15/i7,Laptop,PF-2FCS6J,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,27/05/2021,12/05/2023,store,Gov Workstation,Yes
220120,IMU MEEP,IMU MEEP,Lenovo,ThinkPad E15/i7,Laptop,PF-2FCS8S,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,27/05/2021,12/05/2023,store,No Desktop SLA,Yes
220121,IMU MEEP,IMU MEEP,Lenovo,ThinkPad E15/i7,Laptop,PF-2FCEW0,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,27/05/2021,12/05/2023,store,No Desktop SLA,Yes
218155,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 455R G7,Laptop,5CD114HHZH,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7883,25/06/2021,25/06/2024,store,Gov Workstation,Yes
218731,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G7,Laptop,5CD12253Q7,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7957,05/07/2021,05/07/2024,store,Gov Workstation,Yes
218732,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G7,Laptop,5CD12253NJ,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7957,05/07/2021,05/07/2024,store,Gov Workstation,Yes
218735,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G7,Laptop,5CD12253PB,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7957,05/07/2021,05/07/2024,store,Gov Workstation,Yes
218740,IMU MEEP,IMU MEEP,HP,ProBook 455R G7,Laptop,5CD12253S8,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,7957,05/07/2021,05/07/2024,store,No Desktop SLA,Yes
218744,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G7,Laptop,5CD12253TS,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7957,05/07/2021,05/07/2024,store,Gov Workstation,Yes
220454,IMU MEEP,IMU MEEP,HP,ProBook 450 G8,Laptop,5CD1179DN4,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,23/07/2021,23/07/2024,Retuned to IMU from PS Office,No Desktop SLA,Yes
220456,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 450 G8,Laptop,5CD1179DQJ,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,26/07/2021,01/01/2007,Store-pending works,Gov Workstation,Yes
307907,Written Off,Written Off,HP,Probook 455 G8,Laptop,5CD1310ZQF,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,Yes,Barriera Wharf - MEEC,Information Management Unit,8079,23/09/2021,23/09/2024,store,No Desktop SLA,Yes
307905,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,Probook 455 G8,Laptop,5CD1310ZL5,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8079,23/09/2021,23/09/2024,store,Gov Workstation,Yes
307909,IMU MEEC,IMU MEEC,HP,Probook 455 G8,Laptop,5CD1310ZP1,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,12/02/1922,23/09/2021,23/09/2024,Laptop not to be used,No Desktop SLA,Yes
307933,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,Probook 455 G8,Laptop,5CD1310Z69,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8069,28/09/2021,28/09/2024,store - pending works,Gov Workstation,Yes
308011,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G7,Laptop,5CD1310ZT4,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8070,19/10/2021,19/10/2024,store,Gov Workstation,Yes
308565,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G8,Laptop,5CD151KP9F,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8214,30/03/2022,30/03/2025,store,Gov Workstation,Yes
302528,IMU MEEP,IMU MEEP,DELL,Latitude 7420,Laptop,GSGH4M3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,21/04/2022,18/04/2027,store,No Desktop SLA,No
302527,IMU MEEP,IMU MEEP,DELL,Latitude 7420,Laptop,269H4M3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,21/04/2022,18/04/2027,store,No Desktop SLA,No
302523,DSK-4sight-GOV1/GOZ,IMU MEEP,DELL,Latitude 7420,Laptop,14H7BK3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,21/04/2022,18/04/2027,store,Gov Workstation,No
302529,DSK-MITA-VIP,IMU MEEP,DELL,Latitude 7420,Laptop,5S6J4M3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,18/04/2022,18/04/2027,lanzf001-Francesca Lanzon,Gov Workstation,No
302524,DSK-4sight-GOV1/GOZ,IMU MEEP,DELL,Latitude 7420,Laptop,DYL7BK3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,18/04/2022,18/04/2027,store,Gov Workstation,No
302526,IMU MEEP,IMU MEEP,DELL,Latitude 7420,Laptop,FPL7BK3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,26/04/2022,18/04/2027,store,No Desktop SLA,No
302525,IMU MEEP,IMU MEEP,DELL,Latitude 7420,Laptop,F69H4M3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,26/04/2022,18/04/2027,store,No Desktop SLA,No
308933,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G8,Laptop,5CD151KP8F,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8239,18/05/2022,18/05/2025,store,Gov Workstation,Yes
308938,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G8,Laptop,5CD151KPGM,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8239,18/05/2022,18/05/2025,store,Gov Workstation,Yes
309256,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455R G8,Laptop,5CD1445BN6,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8364,17/08/2022,17/08/2025,store - pending works,Gov Workstation,Yes
315163,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455 G9,Laptop,5CD248BXLJ,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8596,25/02/2023,25/02/2026,store,Gov Workstation,Yes
310184,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 445R G9,Laptop,5CD23740JK,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8685,03/05/2023,03/05/2026,store,Gov Workstation,Yes
315953,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455 G9,Laptop,5CD30517BP,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8726,12/06/2023,12/06/2026,store,Gov Workstation,Yes
315954,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455 G9,Laptop,5CD30517D1,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8726,12/06/2023,12/06/2026,store,Gov Workstation,Yes
310298,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD3110MRN,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8767,07/09/2023,07/09/2026,store,Gov Workstation,No
310299,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD3110MQP,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8767,07/09/2023,07/09/2026,Retuned to IMU from PS Office,Gov Workstation,No
310306,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD3110MQN,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8767,07/09/2023,07/09/2026,store,Gov Workstation,No
307528,IMU MEEP,IMU MEEP,HP,Dragon Fly,Laptop,5CG332360K,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,07/09/2023,11/09/2025,store,No Desktop SLA,Yes
310489,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 455R G9,Laptop,5CD242FVKG,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9084,04/03/2024,04/03/2027,store,Gov Workstation,No
310491,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD242FVJW,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9065,13/03/2024,13/03/2027,store,Gov Workstation,No
310499,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD242FVKC,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9065,13/03/2024,13/03/2027,store,Gov Workstation,No
321834,DSK-MITA-VIP,DSK-HW-eWorld,HP,ProBook 455 G10,Laptop,5CD410H0MF,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9171,12/06/2024,12/06/2027,store,Gov Workstation,No
320828,DSK-4sight-GOV1/GOZ,DSK-HW-FGL,HP,ProBook 445R G9,Laptop,5CD310FWM4,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,9219,23/07/2024,23/07/2027,callc132 - Calleja Claude,Gov Workstation,No
